y,x
59.8384855,30.4129576
59.8383382,30.4130984
59.8449187,30.420269
59.8546071,30.3697063
59.918937,30.3978334
59.9052292,30.4058553
59.7105192,30.4020649
59.7082999,30.3899829
59.8414699,30.3195065
59.7381227,30.4121059
59.7777159,30.3257765
59.8497327,30.4806374
59.8503326,30.4804812
59.8056635,30.3115648
59.8046158,30.3236613
59.804178,30.3237046
59.8052898,30.3122262
59.8153259,30.372922
59.8133958,30.3777807
59.8115782,30.3818125
59.8107111,30.3852971
59.8109409,30.3826021
59.7951271,30.324801
59.7885208,30.3246341
59.7978176,30.3246646
59.7938161,30.3243463
59.9410446,30.2247063
59.9383096,30.2422268
59.8151242,30.361476
59.8100327,30.3346932
59.832481,30.2834987
59.8340466,30.2788814
59.8343835,30.2700669
59.8011598,30.1702149
59.8001045,30.1674968
59.8057526,30.3235825
59.8152188,30.3726635
59.814403,30.3805265
59.8284412,30.4390428
59.7162218,30.4199913
59.8424438,30.4337643
59.8457006,30.4555944
59.8517564,30.4000745
59.8515574,30.4002831
59.8516905,30.3996136
59.8446783,30.3718029
59.8448814,30.3717909
59.8451805,30.3738307
59.8443022,30.3680155
59.7119604,30.4108077
59.712639,30.4355723
59.7125633,30.4372312
59.7180169,30.4313566
59.714125,30.426356
59.7193321,30.4238907
59.7204708,30.420447
59.7208096,30.4208752
59.8345338,30.5004943
59.8403518,30.4855435
59.8704899,30.4776849
59.9113852,30.3963459
59.9116371,30.397273
59.9065705,30.3787433
59.9055341,30.3738894
59.9069852,30.4506397
59.9066495,30.4828893
59.9065893,30.4826333
59.9009766,30.4588529
59.8584485,30.4794795
59.7454567,30.5951312
59.7306856,30.6066982
59.7471161,30.6102325
59.7465317,30.601594
59.6906691,30.4330923
59.9163595,30.3407121
59.8040179,30.1604653
59.8347577,30.2748356
59.8327426,30.2835057
59.8161098,30.3122743
59.8106727,30.3249484
59.7566959,30.6173095
59.7614691,30.6284269
59.769077,30.6222955
59.7580257,30.5995855
59.7476891,30.6105712
59.7366751,30.6057154
59.749547,30.59114
59.9115629,30.3075502
59.9130238,30.3076024
59.8545013,30.3686573
59.8523655,30.4752937
59.8916147,30.3136415
59.8058552,30.5096779
59.8063704,30.5147698
59.6787279,30.4393661
59.6753983,30.4240787
59.9304262,30.3608538
59.9235149,30.3894045
59.9238954,30.3912569
59.9176087,30.4005064
59.877856,30.4498269
59.8779143,30.4501323
59.8760571,30.4479894
59.8766693,30.4493628
59.8817343,30.4698189
59.8757485,30.4478904
59.8463473,30.4556792
59.8485274,30.4583536
59.8332396,30.4987244
59.8334528,30.5039889
59.9014669,30.3398299
59.8539344,30.4793213
59.8462685,30.4561569
59.8725938,30.4344692
