y,x
30.642423,-88.089072
30.6759319,-88.1340497
30.7512539,-88.0920186
30.741032,-88.107882
30.721873,-88.163786
30.7225586,-88.1613457
30.648751,-88.0767012
30.6832934,-88.0420139
30.7304698,-88.0669847
30.9901663,-88.0257129
30.597479,-88.167808
30.6783776,-88.1910382
30.7672,-88.093004
30.686469,-88.013587
30.6925523,-88.029009
30.8740765,-88.044178
30.873963,-88.04965
30.5949994,-88.1550197
30.7347708,-88.0805507
30.736333,-88.082451
30.765371,-88.129424
30.740245,-88.087147
30.673716,-88.127134
30.725379,-88.069743
30.6714626,-88.0478465
30.9846856,-88.026564
30.74043,-88.088644
30.7394337,-88.0874311
30.683242,-88.201717
30.686595,-88.207557
30.6289467,-88.1139066
30.8938709,-88.0170757
30.8948278,-88.0187743
30.8766892,-88.0440658
30.879418,-88.043935
30.642174,-88.089066
30.7630565,-88.1584851
30.759067,-88.092664
30.79496,-88.07265
30.5899505,-88.1577692
30.6412166,-88.0872297
30.671196,-88.046473
30.795147,-88.072698
30.9745958,-88.026916
30.878117,-88.044409
30.7344684,-88.0814954
30.707549,-88.123081
30.8771579,-88.0446453
30.682269,-88.169675
30.5948605,-88.1545515
30.581382,-88.1694926
30.727398,-88.073383
30.648795,-88.161228
30.767212,-88.095114
30.682903,-88.169572
30.9720763,-88.0269159
30.6979678,-88.0512126
30.676422,-88.169744
30.6759562,-88.1695396
30.8941142,-88.016294
30.7076289,-88.122421
30.734815,-88.081912
30.641446,-88.089049
30.6971114,-88.0411432
30.6969345,-88.0409792
30.676317,-88.1394378
30.6759486,-88.1308006
30.806677,-88.104175
30.8020383,-88.1060706
30.676141,-88.144207
30.6995573,-88.0450132
30.677551,-88.18879
30.6861438,-88.0397086
30.682477,-88.2010498
30.676248,-88.124764
30.676324,-88.138466
30.625309,-88.124007
30.8022276,-88.1052508
30.7067706,-88.1218863
30.675988,-88.1422834
30.584677,-88.170104
30.6680549,-88.0491728
30.655176,-88.1240162
30.6024642,-88.150003
30.5942139,-88.149468
30.676201,-88.136536
30.7938408,-88.1025557
