y,x
53.3097565,83.0254836
53.3099527,83.0252849
53.3174517,83.6206503
53.348914,83.4606762
53.7615822,83.6366186
53.766333,83.6379907
53.7754491,83.5979006
53.7997239,83.5410614
53.8005135,83.5365968
53.7980316,83.5361037
53.7992803,83.542481
53.7992112,83.5353383
53.7986328,83.5346167
53.8006365,83.5357705
53.8003391,83.5353525
53.7749795,83.5850699
53.8607475,83.4692358
53.8251383,83.4832222
51.1590199,82.189254
51.2694397,82.1452078
51.5963499,82.2861059
51.6214492,82.2822364
51.866553,82.0776172
51.5966086,82.2865804
52.0706615,82.5335029
52.2531861,82.2293257
52.0896887,82.4818729
52.1086057,82.4852649
52.5160081,82.7246357
52.4853829,82.741913
52.516649,82.7270594
52.4960969,82.7322111
52.4780967,82.7678168
52.4777979,82.7687216
52.5016545,82.732099
53.3365657,82.9270171
53.3365061,82.9271288
53.3359095,82.9274882
51.2690489,82.145106
51.8842696,82.038403
51.7833642,81.3381127
52.0424089,81.8063768
52.1444358,81.7035891
52.7116597,81.620004
52.7033732,81.6217733
52.7024655,81.6283011
52.7025485,81.6237229
52.7869714,81.7747046
52.6344677,81.2080577
52.6724843,82.0596586
52.7863805,81.7740842
52.7854563,81.7732919
52.7877544,81.7770935
53.6221801,81.485001
51.5134772,81.2109263
51.5290756,81.2147411
51.4982933,81.1833132
51.5095922,81.2195231
51.5323557,81.2054275
51.4631835,81.2390764
51.5001749,81.2075999
51.5074839,81.1319351
51.5104506,81.136325
51.5322402,81.2047992
51.496248,81.2065588
51.5002131,81.2074205
51.4947078,81.1937634
51.4949945,81.193351
51.5506514,81.2420454
51.5703379,81.1198406
51.5448903,81.2355019
51.5661857,81.2021595
51.5674429,81.2037465
51.664454,81.3151238
51.5665323,81.2025953
51.5665941,81.2033628
51.5381001,81.1604739
51.5375025,81.1606601
51.5380868,81.1602046
52.210722,81.2231913
52.2562045,81.0724883
52.2133697,80.8088524
52.8355439,80.8942882
53.8917484,81.1857865
53.7983195,81.3112288
53.9747833,81.194399
53.9738136,81.1941623
51.4311124,79.9719138
52.0058222,80.3780687
52.0143971,80.361135
52.0905233,80.5163383
52.4998992,80.2696881
52.7915467,79.8992626
51.9326743,79.4317464
52.554265,78.9503888
52.5576633,78.9699888
53.0062644,78.630408
52.9842293,78.6269238
52.9836864,78.6267299
52.9837815,78.6265516
52.9836351,78.6264748
52.9133615,78.5603974
52.4593128,130.8646392
49.800146,129.8715414
49.7940875,129.8535776
49.729743,129.5885038
50.1562946,129.489997
49.820999,129.7920726
50.4021266,129.2151566
49.6208032,128.6512506
49.6241131,128.6887291
50.6241846,128.9952546
50.623512,129.0003972
50.6251566,128.9971088
50.6262842,128.9957492
50.8610336,128.5558997
50.9081787,128.5233366
50.8541662,128.6595019
51.1507112,128.544852
51.1471364,128.5517544
51.1471333,128.5424206
51.1464566,128.5456615
51.6661777,128.927361
50.1146339,128.04605
50.1135883,128.046087
50.0087021,127.8489793
50.2161279,127.9569689
50.5754086,127.8874073
50.2516837,127.7989826
51.0706971,128.4110766
51.4320167,128.3931104
51.5172656,128.3615917
51.4312298,128.401586
51.4323934,128.3924064
51.4293892,128.398797
51.4289041,128.3959292
51.4668063,128.1350939
51.3929371,128.1283291
51.3411377,128.1150497
51.464989,128.1363931
51.4660663,128.1382898
51.4687564,128.1349714
51.7561987,128.1086451
51.7532212,128.1094196
51.7521304,128.1116955
51.754712,128.1081469
51.7544194,128.1060362
51.7557382,128.1092589
52.0309808,127.7391632
52.0286902,127.7353555
52.018995,127.7093764
52.0259922,127.7365772
52.0315802,127.740615
52.0305163,127.7379524
50.5026989,127.573733
50.2692867,127.7273982
50.2905661,127.5264331
50.2902701,127.5275079
50.2909286,127.5265259
50.2671038,127.5239284
50.264978,127.5451595
50.2678519,127.7391692
50.2905201,127.5286279
50.2963774,127.5113831
50.2662672,127.5324735
50.2733907,127.5127181
50.2578524,127.5335847
50.3051051,127.5316945
50.2743705,127.5029545
50.2654611,127.5421375
50.2664407,127.532516
50.2719836,127.5533278
50.2862115,127.5259983
50.3098044,127.5464049
50.321891,127.5700394
50.2882891,127.6296549
50.2906013,127.6278344
50.2902336,127.6284365
50.2621146,127.5739155
50.2907915,127.5278573
50.2636719,127.5582902
50.2777322,127.5542954
50.2893801,127.5576441
50.2901989,127.5568137
50.3728742,127.5491776
50.5332897,127.6160942
50.3104344,127.5464369
50.5337855,127.617395
50.2895167,127.5628646
50.2678702,127.7409367
50.2683781,127.74006
50.2924807,127.6309723
50.2015843,127.6520965
50.2645142,127.5502739
50.29111,127.5227536
50.2717594,127.7251221
50.2708966,127.6621204
50.2688343,127.7186745
50.2697211,127.654948
50.2706976,127.657291
50.2706451,127.6606167
50.2713288,127.6653451
52.6564117,126.8455355
53.1127315,126.3068721
55.1332753,124.7172122
