y,x
55.7898622,37.372324
55.7897126,37.3721872
55.849953,37.3682206
55.8451036,37.3781152
55.643063,37.3615139
55.6351053,37.3470527
55.6351568,37.3475713
55.8388998,37.3413078
55.7618754,37.3690658
55.7675901,37.3695636
55.6432699,37.3611097
55.6398059,37.3683735
55.822972,37.3618868
55.6932756,37.3827436
55.7693292,37.3681862
55.7672345,37.3753211
55.7629216,37.3683214
55.7866869,37.355147
55.6341004,37.3444393
55.6341503,37.3454654
55.6368415,37.3498962
55.6371058,37.3383323
55.6396246,37.3680143
55.6415788,37.3586542
55.6419699,37.3464092
55.6432513,37.3614527
55.6452296,37.3517585
55.6479029,37.3434779
55.6491763,37.3711871
55.6431707,37.361312
55.8222262,37.3618954
55.6583154,37.3694905
55.7847375,37.3703582
55.6419731,37.3596683
55.6424258,37.3600318
55.7308795,37.3777152
55.7386138,37.3729331
55.7387109,37.3732888
55.6328489,37.3403657
55.6333898,37.3376187
55.6339747,37.3393953
55.8502651,37.3672627
55.7303955,37.3771293
55.6371393,37.3519309
55.8403113,37.3503938
55.8402726,37.3507701
55.7288109,37.3785218
55.6382777,37.3245563
55.839168,37.3413496
55.6858157,37.3548812
55.8390597,37.3409091
55.8344878,37.3493284
55.8407882,37.3516218
55.6536447,37.3456775
55.6537813,37.3458035
55.654272,37.3456836
55.6579541,37.3695366
55.6580194,37.369227
55.6115047,37.3822115
55.6122677,37.3663354
55.6116962,37.3808387
55.6154716,37.3792495
55.6171509,37.3849076
55.6128503,37.3789761
55.7369695,37.3741815
55.6357899,37.3313943
55.6381141,37.3243848
55.6332547,37.3333997
55.632847,37.3336096
55.6331318,37.3355785
55.6335469,37.3353866
55.6139394,37.3734593
55.6102689,37.3869183
55.6444178,37.3293556
55.6385932,37.3536149
55.638265,37.3538005
55.6381626,37.3526059
55.6406134,37.3320685
55.640378,37.3322194
55.6359334,37.3488855
55.6364488,37.3492591
55.6370206,37.3507009
55.6367172,37.3363495
55.8345604,37.3499358
55.6178975,37.3735785
55.6170007,37.3744395
55.636733,37.3505275
55.6357937,37.3498329
55.6328466,37.3413132
55.6328393,37.3403132
55.6330878,37.340335
55.631683,37.3495889
55.6361934,37.3368698
55.6359927,37.337266
55.6365765,37.3373285
55.6364956,37.3366644
55.6350655,37.3486796
55.6321933,37.3480117
55.6342146,37.3387689
55.6401449,37.3811217
55.8250275,37.3641172
55.7863399,37.3550878
55.7862608,37.3554705
55.7861995,37.3551823
55.7863818,37.3554227
55.6402236,37.3324397
55.6360047,37.3357485
55.6380102,37.3347479
55.6157508,37.379564
55.6138362,37.3722922
55.6403096,37.3316643
55.633913,37.3386356
55.6368438,37.3507108
55.6407486,37.3321033
55.6407162,37.3317307
55.6406823,37.3319245
55.6406716,37.3316546
55.8561536,37.3555817
55.856195,37.3554934
55.8497739,37.3682577
55.850113,37.3678934
55.6404838,37.3314784
55.6405217,37.331438
55.640089,37.3319337
55.6407021,37.3312667
55.6405631,37.3317162
55.6404397,37.3313236
55.6437129,37.3295953
55.6437366,37.3297535
55.6397025,37.3323722
55.6409975,37.3323729
55.63847,37.3525533
55.6361854,37.3318148
55.6359139,37.3324755
55.8905505,37.4838629
55.8275043,37.7648216
55.8132647,37.7357472
55.8069755,37.7250039
55.7010034,37.4004987
55.6393435,37.4593428
55.7743705,37.8428135
55.7773438,37.842453
55.7804624,37.842144
55.7221433,37.4442285
55.7240531,37.3991032
55.722978,37.4007218
55.7158818,37.4022497
55.7134447,37.3873405
55.7154111,37.4025376
55.7034286,37.4007631
55.7017578,37.400446
55.7023235,37.4002962
55.702284,37.3996544
55.7032249,37.3983085
55.7034698,37.4006126
55.7230804,37.4062466
55.625907,37.4882208
55.6249503,37.51191
55.8175049,37.7546233
55.7695728,37.5967711
55.7595345,37.624786
55.759523,37.6278676
55.7565781,37.6300747
55.7571629,37.6314869
55.7497492,37.624365
55.7475736,37.6119933
55.8822515,37.5442542
55.887217,37.5433924
55.904693,37.5430821
55.8632228,37.5495765
55.8738526,37.5480305
55.8892942,37.5116685
55.8748715,37.526547
55.8347275,37.5727523
55.7725803,37.602741
55.8715985,37.4595645
55.8758319,37.4513732
55.8763215,37.4526164
55.8582196,37.4854466
55.8747865,37.4674012
55.8792793,37.4828095
55.8795163,37.482289
55.8525226,37.4968063
55.8790293,37.4835116
55.859132,37.4891516
55.8559826,37.5135732
55.8638755,37.519438
55.862814,37.468169
55.8417182,37.5223403
55.8532823,37.5175931
55.8509774,37.4924962
55.8534744,37.4994606
55.8619537,37.5048214
55.8494756,37.4897038
55.8504534,37.4885304
55.8419764,37.4925218
55.8392966,37.4818605
55.8371674,37.5048366
55.8400421,37.4880184
55.8440785,37.5008304
55.8436643,37.5025138
55.8171001,37.7140832
55.844367,37.5020306
55.8368322,37.5050697
55.8267428,37.4908667
55.8270049,37.492116
55.8393291,37.4870206
55.8534033,37.5179275
55.8535221,37.517412
55.8561254,37.5138428
55.8526488,37.5319129
55.878381,37.5228803
55.8462916,37.568607
55.839311,37.5459486
55.8382103,37.532383
55.8401254,37.5249116
55.8396737,37.5233981
55.827033,37.5170482
55.8262845,37.5172606
55.8276787,37.514842
55.8274427,37.5143604
55.8211838,37.5195169
55.8175996,37.5216153
55.8169316,37.7696299
55.8252286,37.7682395
55.8219027,37.7620116
55.8178017,37.7541275
55.6379677,37.5445989
55.6373637,37.5441098
55.6330321,37.5397846
55.6320874,37.5375302
55.6797748,37.5115948
55.6768897,37.5064743
55.6706781,37.4951928
55.6660874,37.4851221
55.6636416,37.4827065
55.6620981,37.4820782
55.6509632,37.4796984
55.6465322,37.4757648
55.6386151,37.4586756
55.6392243,37.4599869
55.6395776,37.5374135
55.6392692,37.5378996
55.6391784,37.5382713
55.6376232,37.5436668
55.6379973,37.5439968
55.6394184,37.5386042
55.6394808,37.5385758
55.6396078,37.5381166
55.6397924,37.5386017
55.6458467,37.5441637
55.7274363,37.5491135
55.8031854,37.8231661
55.8033777,37.8187362
55.8211956,37.5012819
55.8250145,37.5094774
55.8194222,37.505129
55.8218913,37.5146888
55.8325116,37.5198234
55.8295606,37.5306546
55.827994,37.5252081
55.8307256,37.5264712
55.8383269,37.5319524
55.8279076,37.5247672
55.8250541,37.5270118
55.8251698,37.5274524
55.8231837,37.5196324
55.8227912,37.5181539
55.8258688,37.5296762
55.815883,37.5206249
55.8257279,37.5296297
55.8189323,37.5178555
55.8171361,37.5105333
55.8201742,37.5080699
55.8155549,37.5107922
55.8158464,37.5194516
55.8274586,37.4907606
55.835047,37.5487513
55.8262202,37.5729641
55.8080419,37.5709599
55.8087067,37.5749574
55.8065767,37.5765882
55.8058536,37.572779
55.8053726,37.5805958
55.8015734,37.5646687
55.7651529,37.6373343
55.8151351,37.7320579
55.8254579,37.5684688
55.8337443,37.49116
55.8392906,37.4810067
55.8768159,37.4506359
55.8429538,37.4785593
55.8352185,37.4843173
55.8267586,37.491348
55.8267974,37.4916802
55.8352734,37.4846441
55.84978,37.4742021
55.8540449,37.4712654
55.8631658,37.4649774
55.860866,37.4665936
55.8620939,37.4636945
55.8619423,37.4638299
55.8620357,37.4643211
55.8621867,37.464184
55.8609085,37.4662598
55.8626744,37.465039
55.8618447,37.465615
55.8638344,37.464237
55.8180961,37.4984447
55.8176526,37.4994911
55.815075,37.5016397
55.8228224,37.495672
55.821511,37.4960348
55.8244376,37.4943519
55.8219573,37.494997
55.8191867,37.4972858
55.8189138,37.4977855
55.8176965,37.4984565
55.8152397,37.5002571
55.8173843,37.4984934
55.817465,37.4989606
55.8181084,37.4989766
55.817491,37.49924
55.8222375,37.4951489
55.8037713,37.5345123
55.8065192,37.5378124
55.8058954,37.5264515
55.8057625,37.5269586
55.8079213,37.5187299
55.7981194,37.5680428
55.795788,37.5609781
55.791797,37.5686388
55.7939732,37.5592357
55.7930199,37.561523
55.7944859,37.553098
55.794707,37.5535758
55.7946884,37.5534608
55.7978933,37.5533963
55.7978462,37.5532676
55.7977118,37.5532073
55.8274735,37.4910947
55.8272021,37.4908054
55.8028938,37.7087511
55.8115344,37.7002567
55.7850423,37.5872179
55.8090776,37.7153552
55.6650897,37.4676939
55.7701795,37.5959026
55.7443571,37.6021889
55.7381062,37.5953856
55.8116703,37.7079966
55.641118,37.6835846
55.6109155,37.7172935
55.5946151,37.7267163
55.5922261,37.7288767
55.8135453,37.720925
55.8154059,37.7324427
55.8269579,37.7637218
55.8246764,37.7672552
55.8243678,37.7677701
